GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
310M100US10140,10140,"Aberdeen, WA Micro Area",28376,1489,17908,1652,N,N,10468,1332,7.7,2.4,5.0,2.3,N,N,13.6,5.7,4.1,1.9,1.8,1.4,N,N,8.5,4.2,15.3,3.3,13.5,3.7,N,N,19.1,6.1,16.3,3.5,13.2,4.0,N,N,22.8,7.2,17.3,3.2,14.5,3.5,N,N,22.4,6.8,19.6,3.4,25.3,4.6,N,N,6.7,3.1,10.4,3.1,13.9,4.4,N,N,4.2,2.7,6.3,1.7,8.2,2.3,N,N,2.6,1.7,1.7,1.2,2.7,1.9,N,N,0.0,1.7,1.3,0.7,1.9,1.2,N,N,0.1,0.3,40019,2812,51049,3807,60618,8307,27208,2188,52068,3982,62277,6407,N,N,32155,3280,30.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.1,(X)
310M100US10180,10180,"Abilene, TX Metro Area",59857,2430,39268,2470,28473,2006,20589,2026,9.9,2.3,6.0,2.4,3.4,2.0,18.3,5.4,6.8,2.0,4.9,2.0,1.7,1.0,10.5,3.8,13.2,2.1,10.2,2.4,5.6,1.6,21.0,4.3,11.7,2.4,8.0,2.4,5.7,2.3,17.6,4.6,17.8,2.5,18.5,3.2,19.1,3.9,15.7,4.3,15.4,2.5,20.1,3.5,23.2,4.2,6.8,3.0,12.0,2.0,15.2,2.5,18.7,3.1,4.9,3.2,9.3,1.8,12.2,2.6,16.5,3.5,3.5,1.7,2.5,1.1,3.3,1.6,4.5,2.3,1.1,0.9,1.3,0.6,1.7,0.8,1.6,0.9,0.6,0.6,40630,2574,51699,3246,63883,5390,25067,3973,55007,3686,65381,5453,N,N,33786,3628,33.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.6,(X)
310M100US10300,10300,"Adrian, MI Micro Area",36341,1756,24732,1679,18496,1598,11609,1411,6.4,1.9,3.9,2.0,2.9,1.9,11.7,4.3,5.3,1.5,2.4,1.7,0.6,0.6,13.2,3.8,12.4,2.2,9.5,2.8,5.4,1.8,21.0,5.0,13.4,2.6,14.5,3.3,10.2,2.9,11.9,4.0,17.6,3.0,16.8,3.4,17.1,3.2,17.1,5.3,21.6,3.0,22.7,3.4,26.6,4.1,16.3,5.1,13.2,2.5,16.2,3.4,19.7,3.9,6.7,2.9,7.6,1.9,10.6,2.7,13.2,3.5,0.9,0.9,1.2,0.7,1.6,1.0,2.1,1.3,0.5,0.8,1.3,0.6,1.6,0.9,2.2,1.2,0.6,0.7,45563,2528,53171,6099,63856,3883,27872,5001,54026,2619,61827,3322,N,N,35357,3812,26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.9,(X)
310M100US10380,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",108256,3177,81161,3453,52670,3406,27095,1997,37.3,2.2,30.2,2.7,20.4,2.9,59.9,4.6,14.4,1.5,13.1,1.5,13.7,2.0,17.6,3.8,19.5,1.9,22.0,2.2,23.9,3.0,13.8,3.5,10.9,1.5,13.0,1.9,14.7,2.3,4.7,2.0,9.5,1.5,11.2,1.8,12.8,2.2,2.8,2.0,5.6,1.0,7.0,1.3,9.7,1.9,0.9,0.9,1.5,0.5,2.0,0.7,2.7,1.0,0.2,0.2,0.7,0.3,0.9,0.4,1.1,0.6,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.0,0.7,0.4,0.3,0.5,0.4,0.8,0.7,0.0,0.7,14313,923,17127,947,21024,2054,7760,1002,21623,1860,24979,2441,N,N,10611,1071,17.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),17.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),16.8,(X)
310M100US10420,10420,"Akron, OH Metro Area",281523,3534,177924,4285,131154,3620,103599,3937,8.4,0.8,5.2,0.9,1.8,0.6,15.2,1.7,6.4,0.9,3.3,0.7,1.7,0.6,12.0,1.8,11.9,1.0,7.9,1.0,4.6,0.9,19.3,2.3,11.3,0.9,9.5,1.0,7.4,1.2,14.5,1.7,15.2,1.1,14.6,1.3,12.5,1.3,15.8,1.6,18.8,1.1,21.6,1.6,23.6,1.8,13.5,1.5,11.6,1.0,14.7,1.4,18.2,1.8,5.8,1.1,10.2,0.8,14.3,1.2,18.7,1.5,2.5,0.8,3.7,0.5,5.3,0.7,6.9,1.0,0.8,0.5,2.5,0.4,3.5,0.6,4.7,0.8,0.6,0.3,46521,1212,60607,1387,73107,2222,26988,1421,60782,1567,73930,2089,87199,2469,36167,1795,28.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.9,(X)
310M100US10500,10500,"Albany, GA Metro Area",60263,2563,40521,2138,24254,1874,19742,2197,15.3,2.6,11.4,2.7,4.4,2.1,26.0,5.4,9.1,2.1,5.5,2.1,2.1,1.6,15.5,4.3,14.3,2.7,11.7,2.6,7.3,2.7,21.4,5.3,12.1,1.9,10.5,2.1,9.6,2.4,14.7,4.2,13.1,1.9,15.2,2.8,13.2,3.7,7.0,2.6,17.5,2.7,21.5,3.5,26.9,4.8,8.6,3.1,8.2,1.5,11.2,2.2,15.9,3.0,1.9,1.3,6.8,1.7,8.9,2.4,14.1,3.7,2.2,1.8,2.1,1.2,2.3,1.4,3.9,2.2,1.5,2.0,1.5,0.7,1.7,0.9,2.5,1.5,1.0,0.9,34002,4118,46170,3461,62063,3063,18037,2406,47826,3413,54908,3782,N,N,31673,6373,40.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),39.9,(X)
310M100US10540,10540,"Albany-Lebanon, OR Micro Area",45489,966,30470,1626,N,N,15019,1507,8.0,2.1,4.8,1.8,N,N,15.3,3.9,6.4,1.8,3.1,2.0,N,N,14.3,3.9,11.9,2.7,10.9,3.3,N,N,17.0,4.5,12.7,2.4,11.5,2.7,N,N,15.6,5.0,17.5,2.5,17.1,3.0,N,N,14.5,4.6,20.6,2.9,24.4,3.6,N,N,11.8,3.9,12.6,2.4,15.1,3.0,N,N,7.5,3.5,8.3,1.9,10.5,2.4,N,N,3.4,2.4,1.3,0.8,1.8,1.2,N,N,0.5,0.8,0.6,0.5,0.8,0.7,N,N,0.0,1.2,42900,2653,52381,3474,58274,2574,26358,2755,51287,2351,57639,2917,N,N,35555,4041,22.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.0,(X)
310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",348634,3797,208265,5625,158545,4694,140369,5139,6.0,0.7,3.0,0.6,0.8,0.3,11.0,1.4,5.9,0.6,2.9,0.7,1.0,0.5,10.7,1.3,10.6,0.9,6.7,0.9,4.0,0.8,17.0,1.7,9.4,0.9,6.9,0.9,4.6,0.9,13.4,1.7,12.3,0.9,12.5,1.1,10.4,1.2,12.6,1.4,19.4,1.0,19.2,1.2,20.2,1.4,18.7,1.5,12.6,0.9,15.3,1.2,17.8,1.5,8.2,1.2,15.3,0.9,21.3,1.4,25.7,1.7,6.1,1.1,5.1,0.4,7.6,0.8,9.5,1.0,1.3,0.5,3.2,0.4,4.6,0.7,5.9,0.9,1.1,0.4,55796,1459,73130,2552,88158,2824,33350,1706,71547,1698,86596,2108,99584,2611,47467,2760,25.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.3,(X)
310M100US10700,10700,"Albertville, AL Micro Area",35024,1547,24164,1612,N,N,10860,1538,9.7,2.1,8.1,2.4,N,N,16.1,5.7,7.3,2.4,2.7,1.7,N,N,17.5,6.5,16.2,3.5,10.0,3.1,N,N,30.6,9.0,11.5,3.1,11.7,3.6,N,N,11.8,6.2,18.2,3.3,18.8,3.8,N,N,12.9,6.0,14.4,2.6,18.4,3.8,N,N,7.4,3.6,11.7,3.2,15.4,4.3,N,N,1.1,1.3,8.1,2.8,10.9,3.8,N,N,2.0,1.9,1.6,1.0,2.4,1.5,N,N,0.0,1.6,1.2,0.8,1.5,1.0,N,N,0.7,1.1,39343,2920,47756,5938,57438,5738,19066,3680,50034,3468,59784,4305,N,N,26806,3777,30.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.2,(X)
