"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","010030010","1","6.1","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"01/05/2010","010030010","1","7.5","ug/m3 LC","31","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"01/08/2010","010030010","1","5.6","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"01/11/2010","010030010","1","7.6","ug/m3 LC","32","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"01/14/2010","010030010","1","14.6","ug/m3 LC","56","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"01/17/2010","010030010","1","6.8","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"01/20/2010","010030010","1","6.3","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"01/23/2010","010030010","1","11.6","ug/m3 LC","48","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"01/26/2010","010030010","1","5.9","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"01/29/2010","010030010","1","9.3","ug/m3 LC","39","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"02/01/2010","010030010","1","11.3","ug/m3 LC","47","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"02/04/2010","010030010","1","9.4","ug/m3 LC","39","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"02/07/2010","010030010","1","12.3","ug/m3 LC","51","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"02/10/2010","010030010","1","7.8","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"02/13/2010","010030010","1","6.2","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"02/16/2010","010030010","1","5.3","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"02/19/2010","010030010","1","10.2","ug/m3 LC","43","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"02/22/2010","010030010","1","7.1","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"02/25/2010","010030010","1","5.8","ug/m3 LC","24","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"02/28/2010","010030010","1","9.9","ug/m3 LC","41","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/03/2010","010030010","1","8","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
