"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","040011235","1","1.7","ug/m3 LC","7","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"01/08/2010","040011235","1","1.6","ug/m3 LC","7","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"01/14/2010","040011235","1","4.6","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"01/20/2010","040011235","1","1.2","ug/m3 LC","5","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"01/26/2010","040011235","1","1.5","ug/m3 LC","6","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"02/01/2010","040011235","1","4.2","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"02/07/2010","040011235","1","2.1","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"02/13/2010","040011235","1","1.8","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"02/19/2010","040011235","1","3.1","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"02/25/2010","040011235","1","1.4","ug/m3 LC","6","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"03/03/2010","040011235","1","3.1","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"03/09/2010","040011235","1","1.7","ug/m3 LC","7","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"03/15/2010","040011235","1","1.8","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"03/21/2010","040011235","1","0.3","ug/m3 LC","1","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"03/27/2010","040011235","1","2.4","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"04/02/2010","040011235","1","1.7","ug/m3 LC","7","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"04/08/2010","040011235","1","2.2","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"04/14/2010","040011235","1","4.1","ug/m3 LC","17","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
"04/20/2010","040011235","1","5.5","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8819738001496","-109.434003084424"
