"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","080010006","1","22.2","ug/m3 LC","72","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/05/2010","080010006","1","11.2","ug/m3 LC","47","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/08/2010","080010006","1","24.3","ug/m3 LC","77","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/11/2010","080010006","1","15.2","ug/m3 LC","58","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/14/2010","080010006","1","19.4","ug/m3 LC","66","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/17/2010","080010006","1","13.1","ug/m3 LC","53","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/20/2010","080010006","1","10.6","ug/m3 LC","44","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/23/2010","080010006","1","4.6","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/26/2010","080010006","1","15.1","ug/m3 LC","57","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/29/2010","080010006","1","19.2","ug/m3 LC","66","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"02/01/2010","080010006","1","7.6","ug/m3 LC","32","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"02/04/2010","080010006","1","10.1","ug/m3 LC","42","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"02/07/2010","080010006","1","14.8","ug/m3 LC","57","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"02/10/2010","080010006","1","21.7","ug/m3 LC","71","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"02/13/2010","080010006","1","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"02/16/2010","080010006","1","11.4","ug/m3 LC","48","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"02/19/2010","080010006","1","5.2","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"02/22/2010","080010006","1","15","ug/m3 LC","57","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"02/25/2010","080010006","1","10.4","ug/m3 LC","43","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"02/28/2010","080010006","1","9.1","ug/m3 LC","38","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"03/03/2010","080010006","1","14.9","ug/m3 LC","57","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"03/06/2010","080010006","1","4.3","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"03/09/2010","080010006","1","5.2","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"03/12/2010","080010006","1","6","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","19740","Denver-Aurora, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
