"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/05/2010","090010010","1","3.2","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/08/2010","090010010","1","6.4","ug/m3 LC","27","1","100.0000","88101","PM2.5 - Local Conditions","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/11/2010","090010010","1","12.5","ug/m3 LC","52","1","100.0000","88101","PM2.5 - Local Conditions","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/14/2010","090010010","1","26.9","ug/m3 LC","82","1","100.0000","88101","PM2.5 - Local Conditions","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/17/2010","090010010","1","18.9","ug/m3 LC","65","1","100.0000","88101","PM2.5 - Local Conditions","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/20/2010","090010010","1","10.4","ug/m3 LC","43","1","100.0000","88101","PM2.5 - Local Conditions","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/23/2010","090010010","1","13.3","ug/m3 LC","54","1","100.0000","88101","PM2.5 - Local Conditions","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/26/2010","090010010","1","4.3","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/29/2010","090010010","1","3","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"02/01/2010","090010010","1","11.3","ug/m3 LC","47","1","100.0000","88101","PM2.5 - Local Conditions","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"02/04/2010","090010010","1","8","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"02/07/2010","090010010","1","2.8","ug/m3 LC","12","1","100.0000","88101","PM2.5 - Local Conditions","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
