"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2010","130210007","1","7.9","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","31420","Macon, GA","13","Georgia","021","Bibb","32.7774546618939","-83.6410957170754"
"01/02/2010","130210007","1","6.2","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","31420","Macon, GA","13","Georgia","021","Bibb","32.7774546618939","-83.6410957170754"
"01/03/2010","130210007","1","6.7","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","31420","Macon, GA","13","Georgia","021","Bibb","32.7774546618939","-83.6410957170754"
"01/04/2010","130210007","1","7.2","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","31420","Macon, GA","13","Georgia","021","Bibb","32.7774546618939","-83.6410957170754"
"01/05/2010","130210007","1","7.7","ug/m3 LC","32","1","100.0000","88101","PM2.5 - Local Conditions","31420","Macon, GA","13","Georgia","021","Bibb","32.7774546618939","-83.6410957170754"
"01/06/2010","130210007","1","9","ug/m3 LC","38","1","100.0000","88101","PM2.5 - Local Conditions","31420","Macon, GA","13","Georgia","021","Bibb","32.7774546618939","-83.6410957170754"
"01/07/2010","130210007","1","12.2","ug/m3 LC","51","1","100.0000","88101","PM2.5 - Local Conditions","31420","Macon, GA","13","Georgia","021","Bibb","32.7774546618939","-83.6410957170754"
"01/08/2010","130210007","1","10.7","ug/m3 LC","45","1","100.0000","88101","PM2.5 - Local Conditions","31420","Macon, GA","13","Georgia","021","Bibb","32.7774546618939","-83.6410957170754"
"01/09/2010","130210007","1","11.7","ug/m3 LC","49","1","100.0000","88101","PM2.5 - Local Conditions","31420","Macon, GA","13","Georgia","021","Bibb","32.7774546618939","-83.6410957170754"
"01/10/2010","130210007","1","13.9","ug/m3 LC","55","1","100.0000","88101","PM2.5 - Local Conditions","31420","Macon, GA","13","Georgia","021","Bibb","32.7774546618939","-83.6410957170754"
"01/11/2010","130210007","1","16.2","ug/m3 LC","60","1","100.0000","88101","PM2.5 - Local Conditions","31420","Macon, GA","13","Georgia","021","Bibb","32.7774546618939","-83.6410957170754"
"01/12/2010","130210007","1","12","ug/m3 LC","50","1","100.0000","88101","PM2.5 - Local Conditions","31420","Macon, GA","13","Georgia","021","Bibb","32.7774546618939","-83.6410957170754"
