"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","150010005","1","62.4","ug/m3 LC","155","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308000005926","-155.2578"
"01/05/2010","150010005","1","31","ug/m3 LC","91","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308000005926","-155.2578"
"01/08/2010","150010005","1","14.1","ug/m3 LC","55","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308000005926","-155.2578"
"01/11/2010","150010005","1","7.3","ug/m3 LC","30","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308000005926","-155.2578"
"01/14/2010","150010005","1","19","ug/m3 LC","66","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308000005926","-155.2578"
"01/17/2010","150010005","1","35.2","ug/m3 LC","100","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308000005926","-155.2578"
"01/20/2010","150010005","1","0.7","ug/m3 LC","3","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308000005926","-155.2578"
"01/23/2010","150010005","1","36.1","ug/m3 LC","102","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308000005926","-155.2578"
"01/26/2010","150010005","1","18.6","ug/m3 LC","65","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308000005926","-155.2578"
"01/29/2010","150010005","1","18","ug/m3 LC","63","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308000005926","-155.2578"
"02/01/2010","150010005","1","17.9","ug/m3 LC","63","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308000005926","-155.2578"
"02/04/2010","150010005","1","1.9","ug/m3 LC","8","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308000005926","-155.2578"
