"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","160010010","1","7.4","ug/m3 LC","31","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City-Nampa, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/05/2010","160010010","1","25.3","ug/m3 LC","79","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City-Nampa, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/08/2010","160010010","1","7.1","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City-Nampa, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/11/2010","160010010","1","5.4","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City-Nampa, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/14/2010","160010010","1","11.7","ug/m3 LC","49","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City-Nampa, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/17/2010","160010010","1","6.4","ug/m3 LC","27","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City-Nampa, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/20/2010","160010010","1","1","ug/m3 LC","4","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City-Nampa, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/23/2010","160010010","1","3.9","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City-Nampa, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/26/2010","160010010","1","3.8","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City-Nampa, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/29/2010","160010010","1","3.9","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","14260","Boise City-Nampa, ID","16","Idaho","001","Ada","43.600699","-116.347853"
