"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","180030004","1","11.7","ug/m3 LC","49","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"01/05/2010","180030004","1","15.6","ug/m3 LC","58","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"01/08/2010","180030004","1","19.3","ug/m3 LC","66","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"01/11/2010","180030004","1","17.9","ug/m3 LC","63","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"01/14/2010","180030004","1","22.8","ug/m3 LC","74","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"01/17/2010","180030004","1","15.9","ug/m3 LC","59","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"01/20/2010","180030004","1","12.7","ug/m3 LC","52","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"01/23/2010","180030004","1","27.8","ug/m3 LC","84","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"01/26/2010","180030004","1","8.4","ug/m3 LC","35","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"01/29/2010","180030004","1","14.1","ug/m3 LC","55","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"02/01/2010","180030004","1","28.9","ug/m3 LC","86","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"02/04/2010","180030004","1","28.8","ug/m3 LC","86","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"02/07/2010","180030004","1","6.9","ug/m3 LC","29","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"02/10/2010","180030004","1","5.6","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"02/13/2010","180030004","1","26","ug/m3 LC","80","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"02/16/2010","180030004","1","9.2","ug/m3 LC","38","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"02/19/2010","180030004","1","31.1","ug/m3 LC","91","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"02/22/2010","180030004","1","15.6","ug/m3 LC","58","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"02/25/2010","180030004","1","9.5","ug/m3 LC","40","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"02/28/2010","180030004","1","3.7","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"03/03/2010","180030004","1","7.9","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"03/06/2010","180030004","1","13.1","ug/m3 LC","53","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"03/09/2010","180030004","1","39.7","ug/m3 LC","111","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"03/12/2010","180030004","1","20.8","ug/m3 LC","69","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"03/15/2010","180030004","1","5","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
"03/18/2010","180030004","1","8.3","ug/m3 LC","35","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0949654969347","-85.101816308"
