"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2010","240031003","1","12.9","ug/m3 LC","53","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
"01/02/2010","240031003","1","4","ug/m3 LC","17","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
"01/03/2010","240031003","1","5","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
"01/04/2010","240031003","1","6.3","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
"01/05/2010","240031003","1","5","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
"01/06/2010","240031003","1","6.4","ug/m3 LC","27","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
"01/07/2010","240031003","1","9.7","ug/m3 LC","40","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
"01/08/2010","240031003","1","15.2","ug/m3 LC","58","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
"01/09/2010","240031003","1","6","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
"01/10/2010","240031003","1","11.1","ug/m3 LC","46","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
"01/11/2010","240031003","1","6","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
"01/12/2010","240031003","1","18.9","ug/m3 LC","65","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
"01/13/2010","240031003","1","13.2","ug/m3 LC","53","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Towson, MD","24","Maryland","003","Anne Arundel","39.1695330009241","-76.627933"
