"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","260050003","1","2.5","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/05/2010","260050003","1","1.9","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/08/2010","260050003","1","1.7","ug/m3 LC","7","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/11/2010","260050003","1","8.2","ug/m3 LC","34","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/14/2010","260050003","1","17","ug/m3 LC","61","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/17/2010","260050003","1","15.5","ug/m3 LC","58","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/20/2010","260050003","1","5.5","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/23/2010","260050003","1","24.6","ug/m3 LC","77","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/26/2010","260050003","1","6.5","ug/m3 LC","27","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/29/2010","260050003","1","8.3","ug/m3 LC","35","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/01/2010","260050003","1","21.3","ug/m3 LC","70","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/04/2010","260050003","1","20.5","ug/m3 LC","69","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/07/2010","260050003","1","8.5","ug/m3 LC","35","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/10/2010","260050003","1","0.6","ug/m3 LC","3","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/13/2010","260050003","1","2.5","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/16/2010","260050003","1","1.2","ug/m3 LC","5","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/19/2010","260050003","1","3.2","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/22/2010","260050003","1","5.5","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/25/2010","260050003","1","2.2","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/28/2010","260050003","1","1.7","ug/m3 LC","7","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"03/03/2010","260050003","1","3.8","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"03/06/2010","260050003","1","21.1","ug/m3 LC","70","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"03/09/2010","260050003","1","32.2","ug/m3 LC","93","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"03/12/2010","260050003","1","17.5","ug/m3 LC","62","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"03/15/2010","260050003","1","2.4","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"03/18/2010","260050003","1","8.8","ug/m3 LC","37","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"03/21/2010","260050003","1","5.4","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"03/24/2010","260050003","1","5","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"03/27/2010","260050003","1","7.4","ug/m3 LC","31","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"03/30/2010","260050003","1","14.4","ug/m3 LC","56","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/02/2010","260050003","1","9.1","ug/m3 LC","38","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/05/2010","260050003","1","6.3","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/08/2010","260050003","1","0.7","ug/m3 LC","3","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/11/2010","260050003","1","6","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","10880","Allegan, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
