"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2010","290210005","3","11.8","ug/m3 LC","49","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/02/2010","290210005","3","7.4","ug/m3 LC","31","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/03/2010","290210005","3","9.2","ug/m3 LC","38","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/04/2010","290210005","3","10","ug/m3 LC","42","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/05/2010","290210005","3","22.1","ug/m3 LC","72","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/06/2010","290210005","3","19","ug/m3 LC","66","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/07/2010","290210005","3","4.5","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/08/2010","290210005","3","7","ug/m3 LC","29","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/09/2010","290210005","3","12.8","ug/m3 LC","52","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/10/2010","290210005","3","12.5","ug/m3 LC","52","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/11/2010","290210005","3","14.3","ug/m3 LC","56","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/12/2010","290210005","3","19.1","ug/m3 LC","66","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/13/2010","290210005","3","18.1","ug/m3 LC","64","1","100.0000","88101","PM2.5 - Local Conditions","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
