"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","330012004","1","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"01/08/2010","330012004","1","2.1","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"01/14/2010","330012004","1","7.9","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"01/20/2010","330012004","1","5.2","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"01/26/2010","330012004","1","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"02/01/2010","330012004","1","4.5","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"02/07/2010","330012004","1","2.3","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"02/13/2010","330012004","1","2.2","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"02/19/2010","330012004","1","0.8","ug/m3 LC","3","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"02/25/2010","330012004","1","0.2","ug/m3 LC","1","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"03/03/2010","330012004","1","4","ug/m3 LC","17","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"03/09/2010","330012004","1","1.8","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"03/15/2010","330012004","1","1.7","ug/m3 LC","7","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"03/21/2010","330012004","1","3.8","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"03/27/2010","330012004","1","4.3","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"04/02/2010","330012004","1","6.1","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"04/08/2010","330012004","1","4.9","ug/m3 LC","20","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"04/14/2010","330012004","1","4.8","ug/m3 LC","20","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"04/20/2010","330012004","1","6.1","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"04/26/2010","330012004","1","5.6","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"05/02/2010","330012004","1","18","ug/m3 LC","63","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"05/08/2010","330012004","1","2.4","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"05/14/2010","330012004","1","6.1","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
"05/20/2010","330012004","1","5","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","29060","Laconia, NH","33","New Hampshire","001","Belknap","43.5661110009421","-71.496361"
