"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","400019009","1","14.4","ug/m3 LC","56","1","100.0000","88101","PM2.5 - Local Conditions","","","40","Oklahoma","001","Adair","35.750735000895","-94.669697"
"01/08/2010","400019009","1","5.1","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","","","40","Oklahoma","001","Adair","35.750735000895","-94.669697"
"01/14/2010","400019009","1","18.5","ug/m3 LC","64","1","100.0000","88101","PM2.5 - Local Conditions","","","40","Oklahoma","001","Adair","35.750735000895","-94.669697"
"01/20/2010","400019009","1","7.9","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","","","40","Oklahoma","001","Adair","35.750735000895","-94.669697"
"01/26/2010","400019009","1","4.3","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","","","40","Oklahoma","001","Adair","35.750735000895","-94.669697"
"02/01/2010","400019009","1","15.8","ug/m3 LC","59","1","100.0000","88101","PM2.5 - Local Conditions","","","40","Oklahoma","001","Adair","35.750735000895","-94.669697"
"02/07/2010","400019009","1","9.2","ug/m3 LC","38","1","100.0000","88101","PM2.5 - Local Conditions","","","40","Oklahoma","001","Adair","35.750735000895","-94.669697"
"02/13/2010","400019009","1","11.7","ug/m3 LC","49","1","100.0000","88101","PM2.5 - Local Conditions","","","40","Oklahoma","001","Adair","35.750735000895","-94.669697"
"02/19/2010","400019009","1","5.3","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","","","40","Oklahoma","001","Adair","35.750735000895","-94.669697"
"02/25/2010","400019009","1","8.1","ug/m3 LC","34","1","100.0000","88101","PM2.5 - Local Conditions","","","40","Oklahoma","001","Adair","35.750735000895","-94.669697"
"03/03/2010","400019009","1","16.5","ug/m3 LC","60","1","100.0000","88101","PM2.5 - Local Conditions","","","40","Oklahoma","001","Adair","35.750735000895","-94.669697"
"03/09/2010","400019009","1","5.6","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","","","40","Oklahoma","001","Adair","35.750735000895","-94.669697"
