"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","440030002","2","4.7","ug/m3 LC","20","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"01/08/2010","440030002","2","4.6","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"01/14/2010","440030002","2","11.5","ug/m3 LC","48","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"01/20/2010","440030002","2","6.4","ug/m3 LC","27","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"02/01/2010","440030002","2","7.5","ug/m3 LC","31","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"02/07/2010","440030002","2","3.1","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"02/13/2010","440030002","2","3.6","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"02/19/2010","440030002","2","1.8","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"02/25/2010","440030002","2","2","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"03/03/2010","440030002","2","3.9","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"03/09/2010","440030002","2","4.9","ug/m3 LC","20","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"03/15/2010","440030002","2","1.7","ug/m3 LC","7","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"03/21/2010","440030002","2","11.6","ug/m3 LC","48","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"03/27/2010","440030002","2","5.1","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"04/08/2010","440030002","2","15.7","ug/m3 LC","59","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"04/14/2010","440030002","2","6.2","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"04/20/2010","440030002","2","5.7","ug/m3 LC","24","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"04/26/2010","440030002","2","5.9","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"05/14/2010","440030002","2","13.6","ug/m3 LC","54","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"05/26/2010","440030002","2","12","ug/m3 LC","50","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
"06/01/2010","440030002","2","14.1","ug/m3 LC","55","1","100.0000","88101","PM2.5 - Local Conditions","39300","Providence-New Bedford-Fall River, RI-MA","44","Rhode Island","003","Kent","41.6152370009369","-71.72"
