"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","480290032","1","9.9","ug/m3 LC","41","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"01/14/2010","480290032","1","11.8","ug/m3 LC","49","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"01/20/2010","480290032","1","15.5","ug/m3 LC","58","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"01/26/2010","480290032","1","4.5","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"02/01/2010","480290032","1","17.7","ug/m3 LC","63","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"02/13/2010","480290032","1","8.2","ug/m3 LC","34","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"02/19/2010","480290032","1","5.6","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"03/03/2010","480290032","1","6.2","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"03/09/2010","480290032","1","4.5","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"03/15/2010","480290032","1","6.7","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio, TX","48","Texas","029","Bexar","29.51509","-98.620166"
