"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2010","530010003","4","3.5","ug/m3 LC","15","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","53","Washington","001","Adams","47.1200000009405","-118.3819"
"01/02/2010","530010003","4","3.1","ug/m3 LC","13","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","53","Washington","001","Adams","47.1200000009405","-118.3819"
"01/03/2010","530010003","4","3.9","ug/m3 LC","16","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","53","Washington","001","Adams","47.1200000009405","-118.3819"
"01/04/2010","530010003","4","3.6","ug/m3 LC","15","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","53","Washington","001","Adams","47.1200000009405","-118.3819"
"01/05/2010","530010003","4","4.6","ug/m3 LC","19","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","53","Washington","001","Adams","47.1200000009405","-118.3819"
"01/06/2010","530010003","4","4.1","ug/m3 LC","17","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","53","Washington","001","Adams","47.1200000009405","-118.3819"
"01/07/2010","530010003","4","4.6","ug/m3 LC","19","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","53","Washington","001","Adams","47.1200000009405","-118.3819"
"01/08/2010","530010003","4","5.9","ug/m3 LC","25","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","53","Washington","001","Adams","47.1200000009405","-118.3819"
"01/09/2010","530010003","4","6.2","ug/m3 LC","26","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","53","Washington","001","Adams","47.1200000009405","-118.3819"
"01/10/2010","530010003","4","6.1","ug/m3 LC","25","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","53","Washington","001","Adams","47.1200000009405","-118.3819"
