"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","550030010","1","2.9","ug/m3 LC","12","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"01/08/2010","550030010","1","2.4","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"01/14/2010","550030010","1","17.9","ug/m3 LC","63","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"01/20/2010","550030010","1","3.5","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"01/26/2010","550030010","1","2.8","ug/m3 LC","12","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"02/01/2010","550030010","1","3","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"02/09/2010","550030010","1","1.7","ug/m3 LC","7","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"02/13/2010","550030010","1","3","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"02/19/2010","550030010","1","2.3","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"02/25/2010","550030010","1","3.3","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"03/03/2010","550030010","1","4.6","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"03/09/2010","550030010","1","17.3","ug/m3 LC","62","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"03/15/2010","550030010","1","8.9","ug/m3 LC","37","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"03/21/2010","550030010","1","3.6","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"03/27/2010","550030010","1","5.2","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"04/02/2010","550030010","1","9","ug/m3 LC","38","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"04/08/2010","550030010","1","1.5","ug/m3 LC","6","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"04/14/2010","550030010","1","10","ug/m3 LC","42","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
"04/20/2010","550030010","1","3.3","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6020000009417","-90.656"
