CBSA_Code,CBSA,Population,Area,Population Density
10180,"Abilene, TX",165252.00,2743.48,60.23
10420,"Akron, OH",703200.00,900.13,781.22
10500,"Albany, GA",157308.00,1932.56,81.40
10580,"Albany-Schenectady-Troy, NY",870716.00,2811.55,309.69
10740,"Albuquerque, NM",887077.00,9282.50,95.56
10780,"Alexandria, LA",153922.00,1960.99,78.49
10900,"Allentown-Bethlehem-Easton, PA-NJ",821173.00,1453.22,565.07
11020,"Altoona, PA",127089.00,525.80,241.71
11100,"Amarillo, TX",249881.00,3649.24,68.47
11180,"Ames, IA",89542.00,572.82,156.32
11260,"Anchorage, AK",380821.00,26312.58,14.47
11300,"Anderson, IN",131636.00,451.92,291.28
11340,"Anderson, SC",187126.00,715.43,261.56
11460,"Ann Arbor, MI",344791.00,705.97,488.40
11500,"Anniston-Oxford, AL",118572.00,605.87,195.71
11540,"Appleton, WI",225666.00,955.76,236.11
11700,"Asheville, NC",424858.00,2033.00,208.98
12020,"Athens-Clarke County, GA",192541.00,1024.81,187.88
12060,"Atlanta-Sandy Springs-Marietta, GA",5268860.00,8338.54,631.87
12100,"Atlantic City-Hammonton, NJ",274549.00,555.70,494.06
12220,"Auburn-Opelika, AL",140247.00,607.54,230.85
12260,"Augusta-Richmond County, GA-SC",556877.00,3270.28,170.28
12420,"Austin-Round Rock-San Marcos, TX",1716289.00,4219.89,406.71
12540,"Bakersfield-Delano, CA",839631.00,8131.92,103.25
12580,"Baltimore-Towson, MD",2710489.00,2601.48,1041.90
12620,"Bangor, ME",153923.00,3397.36,45.31
12700,"Barnstable Town, MA",215888.00,393.72,548.32
12940,"Baton Rouge, LA",802484.00,4026.92,199.28
12980,"Battle Creek, MI",136146.00,706.23,192.78
13020,"Bay City, MI",107771.00,442.30,243.66
13140,"Beaumont-Port Arthur, TX",388745.00,2100.53,185.07
13380,"Bellingham, WA",201140.00,2106.86,95.47
13460,"Bend, OR",157733.00,3018.19,52.26
13740,"Billings, MT",158050.00,4682.08,33.76
13780,"Binghamton, NY",251725.00,1224.37,205.60
13820,"Birmingham-Hoover, AL",1128047.00,5279.51,213.66
13900,"Bismarck, ND",108779.00,3558.92,30.57
13980,"Blacksburg-Christiansburg-Radford, VA",162958.00,1072.52,151.94
14020,"Bloomington, IN",192714.00,1322.29,145.74
14060,"Bloomington-Normal, IL",169572.00,1183.38,143.29
14260,"Boise City-Nampa, ID",616561.00,11765.59,52.40
14460,"Boston-Cambridge-Quincy, MA-NH",4552402.00,3487.41,1305.38
14500,"Boulder, CO",294567.00,726.29,405.58
14540,"Bowling Green, KY",125953.00,844.48,149.15
14740,"Bremerton-Silverdale, WA",251133.00,394.94,635.87
14860,"Bridgeport-Stamford-Norwalk, CT",916829.00,624.89,1467.19
15180,"Brownsville-Harlingen, TX",406220.00,890.92,455.95
15260,"Brunswick, GA",112370.00,1286.41,87.35
15380,"Buffalo-Niagara Falls, NY",1135509.00,1565.05,725.54
15500,"Burlington, NC",151131.00,423.94,356.49
15540,"Burlington-South Burlington, VT",211261.00,1252.10,168.73
15940,"Canton-Massillon, OH",404422.00,969.88,416.98
15980,"Cape Coral-Fort Myers, FL",618754.00,784.51,788.71
16020,"Cape Girardeau-Jackson, MO-IL",96275.00,1431.95,67.23
16180,"Carson City, NV",55274.00,144.66,382.09
16220,"Casper, WY",75450.00,5340.35,14.13
16300,"Cedar Rapids, IA",257940.00,2008.77,128.41
16580,"Champaign-Urbana, IL",231891.00,1921.08,120.71
16620,"Charleston, WV",304284.00,2527.74,120.38
16700,"Charleston-North Charleston-Summerville, SC",664607.00,2588.18,256.79
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",1758038.00,3085.19,569.83
16820,"Charlottesville, VA",201559.00,1644.04,122.60
16860,"Chattanooga, TN-GA",528143.00,2088.97,252.82
16940,"Cheyenne, WY",91738.00,2685.91,34.16
16980,"Chicago-Joliet-Naperville, IL-IN-WI",9461105.00,7196.81,1314.63
17020,"Chico, CA",220000.00,1636.46,134.44
17140,"Cincinnati-Middletown, OH-KY-IN",2130151.00,4391.88,485.02
17300,"Clarksville, TN-KY",273949.00,2157.44,126.98
17420,"Cleveland, TN",115788.00,763.44,151.67
17460,"Cleveland-Elyria-Mentor, OH",2077240.00,1997.31,1040.02
17660,"Coeur d'Alene, ID",138494.00,1244.12,111.32
17780,"College Station-Bryan, TX",228660.00,2100.15,108.88
17820,"Colorado Springs, CO",645613.00,2683.86,240.55
17860,"Columbia, MO",172786.00,1149.26,150.35
17900,"Columbia, SC",767598.00,3702.75,207.30
17980,"Columbus, GA-AL",294865.00,1936.13,152.30
18020,"Columbus, IN",76794.00,406.91,188.73
18140,"Columbus, OH",1836536.00,3967.20,462.93
18580,"Corpus Christi, TX",428185.00,1784.01,240.01
18700,"Corvallis, OR",85579.00,675.94,126.61
18880,"Crestview-Fort Walton Beach-Destin, FL",180822.00,930.25,194.38
19060,"Cumberland, MD-WV",103299.00,751.99,137.37
19100,"Dallas-Fort Worth-Arlington, TX",6371773.00,8927.50,713.72
19140,"Dalton, GA",142227.00,634.93,224.00
19180,"Danville, IL",81625.00,898.37,90.86
19260,"Danville, VA",106561.00,1011.88,105.31
19340,"Davenport-Moline-Rock Island, IA-IL",379690.00,2269.91,167.27
19380,"Dayton, OH",841502.00,1705.98,493.27
19460,"Decatur, AL",153829.00,1270.01,121.12
19500,"Decatur, IL",110768.00,580.69,190.75
19660,"Deltona-Daytona Beach-Ormond Beach, FL",494593.00,1101.03,449.21
19740,"Denver-Aurora-Broomfield, CO",2543482.00,8346.06,304.75
19780,"Des Moines-West Des Moines, IA",569633.00,2883.70,197.54
19820,"Detroit-Warren-Livonia, MI",4296250.00,3888.40,1104.89
20020,"Dothan, AL",145639.00,1715.98,84.87
20100,"Dover, DE",162310.00,586.18,276.90
20220,"Dubuque, IA",93653.00,608.30,153.96
20260,"Duluth, MN-WI",279771.00,8412.92,33.25
20500,"Durham-Chapel Hill, NC",504357.00,1758.44,286.82
20740,"Eau Claire, WI",161151.00,1646.36,97.88
20940,"El Centro, CA",174528.00,4176.60,41.79
21060,"Elizabethtown, KY",119736.00,884.80,135.33
21140,"Elkhart-Goshen, IN",197559.00,463.17,426.54
21300,"Elmira, NY",88830.00,407.35,218.07
21340,"El Paso, TX",800647.00,1012.69,790.61
