Id,Id2,Geography,GEOGRAPHIC AREA CODES - Place (FIPS),GEOGRAPHIC AREA CODES - Place Size Code,AREA CHARACTERISTICS - Area (Land),Land Area (square miles),AREA CHARACTERISTICS - Area (Water),AREA CHARACTERISTICS - Functional Status Code,2010 Population,Population Density (persons / sq. mile), Housing Unit Count,Housing Density
1600000US2430800,2430800,"Friendship Heights Village CDP, Maryland",30800,12,152947,0.059053169,0,S,4698,79555.42524,3265,55289.15781
1600000US3428650,3428650,"Guttenberg town, New Jersey",28650,14,506788,0.195671949,120717,A,11176,57116.00489,4839,24730.16712
1600000US3474630,3474630,"Union City city, New Jersey",74630,17,3322086,1.28266463,0,A,66455,51810.11345,24931,19436.88117
1600000US3479610,3479610,"West New York town, New Jersey",79610,16,2609217,1.007424359,835049,A,49708,49341.66974,20018,19870.47447
1600000US3432250,3432250,"Hoboken city, New Jersey",32250,17,3302874,1.275246835,1905368,A,50005,39212.01655,26855,21058.66822
1600000US3638934,3638934,"Kaser village, New York",38934,12,446210,0.172282652,0,A,4724,27420.05628,929,5392.301499
1600000US3651000,3651000,"New York city, New York",51000,23,783842402,302.6432563,429527437,A,8175133,27012.44066,3371062,11138.73159
1600000US3413570,3413570,"Cliffside Park borough, New Jersey",13570,15,2493329,0.96267975,0,A,23594,24508.66968,10665,11078.45055
1600000US3419360,3419360,"East Newark borough, New Jersey",19360,11,264809,0.102243331,54750,A,2406,23532.0972,794,7765.787688
1600000US0646492,646492,"Maywood city, California",46492,16,3052064,1.178408549,0,A,27395,23247.45525,6766,5741.641987
1600000US3456550,3456550,"Passaic city, New Jersey",56550,17,8148572,3.146181372,252809,A,69781,22179.5859,20432,6494.22191
1600000US3630213,3630213,"Great Neck Plaza village, New York",30213,13,808519,0.312170944,0,A,6707,21485.02325,4052,12980.06772
1600000US0683402,683402,"Walnut Park CDP, California",83402,14,1936670,0.747752499,0,S,15966,21351.9848,3744,5007.004328
1600000US0641180,641180,"Lennox CDP, California",41180,15,2831890,1.093398888,0,S,22753,20809.42302,5487,5018.29667
1600000US1269555,1269555,"Sunny Isles Beach city, Florida",69555,15,2629512,1.015260302,2081725,A,20832,20518.87575,18984,18698.6529
1600000US0617498,617498,"Cudahy city, California",17498,15,3043281,1.175017413,131925,A,23805,20259.27423,5770,4910.565525
1600000US3650705,3650705,"New Square village, New York",50705,13,922827,0.356305512,0,A,6944,19488.89301,1283,3600.842416
1600000US1249225,1249225,"North Bay Village city, Florida",49225,13,957594,0.369729126,1155020,A,7137,19303.32099,4572,12365.80966
1600000US0636056,636056,"Huntington Park city, California",36056,17,7802438,3.012538282,8372,A,58114,19290.70922,15151,5029.313682
1600000US2445525,2445525,"Langley Park CDP, Maryland",45525,14,2575029,0.994224298,84,S,18755,18863.95258,5367,5398.178271
1600000US0621034,621034,"East Rancho Dominguez CDP, California",21034,14,2128985,0.822005739,0,S,15135,18412.28021,3186,3875.885348
1600000US2562535,2562535,"Somerville city, Massachusetts",62535,17,10660871,4.11618548,269416,A,75754,18403.93256,33720,8192.050665
1600000US3669023,3669023,"South Floral Park village, New York",69023,10,248578,0.095976506,0,A,1764,18379.49791,569,5928.53419
1600000US0684410,684410,"West Hollywood city, California",84410,16,4888357,1.88740527,0,A,34399,18225.55047,24588,13027.40879
1600000US3639853,3639853,"Kiryas Joel village, New York",39853,15,2871248,1.108595098,14564,A,20175,18198.70938,4136,3730.848178
1600000US0662700,662700,"Rollingwood CDP, California",62700,12,430451,0.166198067,0,S,2969,17864.22699,776,4669.127701
1600000US0624477,624477,"Florence-Graham CDP, California",24477,17,9273012,3.580330102,0,S,63387,17704.23346,14765,4123.921421
1600000US3605661,3605661,"Bellerose Terrace CDP, New York",5661,11,322772,0.124622971,0,S,2198,17637.19785,665,5336.094891
1600000US3457000,3457000,"Paterson city, New Jersey",57000,18,21829121,8.428271096,714857,A,146199,17346.26216,47946,5688.711178
1600000US0684592,684592,"Westmont CDP, California",84592,16,4785354,1.847635588,0,S,31853,17239.87144,10588,5730.567257
1600000US0667000,667000,"San Francisco city, California",67000,20,121399963,46.87278976,479190317,A,805235,17179.1567,376942,8041.808519
1600000US0604996,604996,"Bell Gardens city, California",4996,16,6367644,2.458561198,11524,A,42072,17112.44773,9986,4061.725211
1600000US1270345,1270345,"Sweetwater city, Florida",70345,14,2053826,0.792986686,25683,A,13499,17022.98443,4195,5290.126651
1600000US0620802,620802,"East Los Angeles CDP, California",20802,18,19290988,7.448292425,11013,S,126496,16983.22149,32201,4323.272794
1600000US3436000,3436000,"Jersey City city, New Jersey",36000,18,38315542,14.7937141,16280557,A,247597,16736.63546,108720,7349.067263
1600000US0640886,640886,"Lawndale city, California",40886,16,5113052,1.974160498,0,A,32769,16598.95436,10151,5141.932487
1600000US2511000,2511000,"Cambridge city, Massachusetts",11000,18,16538139,6.385411438,1868370,A,105162,16469.10321,47291,7406.100681
1600000US3422560,3422560,"Fairview borough, New Jersey",22560,14,2182004,0.84247649,2824,A,13835,16421.82323,5150,6112.930224
1600000US3419390,3419390,"East Orange city, New Jersey",19390,17,10164092,3.924378028,0,A,64270,16377.11748,28803,7339.506998
1600000US4414140,4414140,"Central Falls city, Rhode Island",14140,14,3103173,1.198141845,198711,A,19376,16171.70795,7478,6241.331136
1600000US2513205,2513205,"Chelsea city, Massachusetts",13205,16,5729500,2.212172412,638247,A,35177,15901.56347,12621,5705.251514
1600000US3455770,3455770,"Palisades Park borough, New Jersey",55770,14,3240786,1.251274523,63688,A,19622,15681.61074,7362,5883.600971
1600000US4249504,4249504,"Millbourne borough, Pennsylvania",49504,9,191972,0.074120807,0,A,1159,15636.63499,416,5612.45915
1600000US3670420,3670420,"Spring Valley village, New York",70420,16,5220725,2.015733278,5474,A,31347,15551.16461,9374,4650.416851
1600000US3649121,3649121,"Mount Vernon city, New York",49121,17,11358848,4.385675918,44577,A,67292,15343.587,28990,6610.155547
1600000US0632506,632506,"Hawaiian Gardens city, California",32506,14,2449821,0.945881216,27038,A,14254,15069.54547,3703,3914.867888
1600000US3643335,3643335,"Long Beach city, New York",43335,16,5735965,2.214668562,4350373,A,33275,15024.82158,16450,7427.748008
1600000US3633139,3633139,"Hempstead village, New York",33139,17,9536421,3.68203289,12386,A,53891,14636.20821,16034,4354.659635
1600000US3425770,3425770,"Garfield city, New Jersey",25770,16,5436297,2.098966096,157631,A,30487,14524.77011,11788,5616.098338
1600000US1705573,1705573,"Berwyn city, Illinois",5573,17,10113911,3.905003035,0,A,56657,14508.82355,20719,5305.75772
1600000US0644574,644574,"Lynwood city, California",44574,17,12535585,4.840016633,0,A,69772,14415.65294,15277,3156.394111
1600000US1772923,1772923,"Stone Park village, Illinois",72923,12,889932,0.343604681,0,A,4946,14394.44884,1285,3739.762791
1600000US1714351,1714351,"Cicero town, Illinois",14351,17,15189098,5.864543774,0,A,83891,14304.77855,24329,4148.489795
1600000US1203975,1203975,"Bay Harbor Islands town, Florida",3975,13,1024946,0.39573388,351119,A,5628,14221.67847,3199,8083.715251
1600000US2162370,2162370,"Poplar Hills city, Kentucky",62370,7,66028,0.025493554,0,A,362,14199.66766,220,8629.632277
1600000US0604870,604870,"Bell city, California",4870,16,6476268,2.500501161,307164,A,35477,14187.95582,9217,3686.061077
