Geographic area,PopDensity2010
"Abilene, TX",1771.80
"Akron, OH",2412.80
"Albany, GA",922.70
"Albany-Schenectady-Troy, NY",2944.90
"Albuquerque, NM",3518.60
"Alexandria, LA",803.20
"Allentown-Bethlehem-Easton, PA-NJ",3889.30
"Altoona, PA",2428.70
"Amarillo, TX",2591.40
"Ames, IA",2343.40
"Anchorage, AK",3006.90
"Anderson, IN",1327.90
"Anderson, SC",596.70
"Ann Arbor, MI",3363.50
"Anniston-Oxford, AL",566.60
"Appleton, WI",1950.00
"Asheville, NC",728.70
"Athens-Clarke County, GA",1442.50
"Atlanta-Sandy Springs-Marietta, GA",2173.00
"Atlantic City-Hammonton, NJ",3412.30
"Auburn-Opelika, AL",1220.90
"Augusta-Richmond County, GA-SC",1098.60
"Austin-Round Rock-San Marcos, TX",3131.50
"Bakersfield-Delano, CA",3711.50
"Baltimore-Towson, MD",5435.70
"Bangor, ME",827.40
"Barnstable Town, MA",847.10
"Baton Rouge, LA",1603.30
"Battle Creek, MI",1179.40
"Bay City, MI",1780.50
"Beaumont-Port Arthur, TX",1711.20
"Bellingham, WA",1775.10
"Bend, OR",1154.60
"Billings, MT",2109.90
"Binghamton, NY",2226.10
"Birmingham-Hoover, AL",1314.20
"Bismarck, ND",1802.50
"Blacksburg-Christiansburg-Radford, VA",1228.10
"Bloomington, IN",2331.10
"Bloomington-Normal, IL",3046.90
"Boise City-Nampa, ID",2310.20
"Boston-Cambridge-Quincy, MA-NH",7980.10
"Boulder, CO",3650.00
"Bowling Green, KY",1730.30
"Bremerton-Silverdale, WA",1835.90
"Bridgeport-Stamford-Norwalk, CT",5122.40
"Brownsville-Harlingen, TX",2842.90
"Brunswick, GA",539.00
"Buffalo-Niagara Falls, NY",4129.40
"Burlington, NC",1126.70
"Burlington-South Burlington, VT",2053.90
"Canton-Massillon, OH",1919.90
"Cape Coral-Fort Myers, FL",1911.30
"Cape Girardeau-Jackson, MO-IL",1093.80
"Carson City, NV",3285.40
"Casper, WY",2003.60
"Cedar Rapids, IA",1661.30
"Champaign-Urbana, IL",4405.20
"Charleston, WV",1033.70
"Charleston-North Charleston-Summerville, SC",1926.00
"Charlotte-Gastonia-Rock Hill, NC-SC",1881.30
"Charlottesville, VA",2050.70
"Chattanooga, TN-GA",1126.80
"Cheyenne, WY",1817.70
